name,Table-Setters,Power-Hitters,Platoon
manny machado,89.253%,10.695%,0.052%
paul goldschmidt,1.466%,98.483%,0.051%
mookie betts,91.585%,8.358%,0.057%
carlos santana,0.086%,99.822%,0.092%
charlie blackmon,62.873%,20.554%,16.573%
nolan arenado,94.256%,5.606%,0.138%
eric hosmer,83.960%,14.134%,1.907%
anthony rizzo,11.250%,88.357%,0.393%
joey votto,0.005%,99.844%,0.152%
xander bogaerts,92.965%,5.065%,1.971%
jose abreu,87.954%,11.991%,0.055%
francisco lindor,98.647%,0.856%,0.497%
jose altuve,81.177%,8.551%,10.272%
brian dozier,29.015%,64.119%,6.865%
nick markakis,90.930%,4.725%,4.344%
kole calhoun,75.406%,22.230%,2.364%
dj lemahieu,98.447%,0.212%,1.341%
bryce harper,0.001%,99.991%,0.009%
freddy galvis,6.000%,0.017%,93.983%
brett gardner,23.355%,3.318%,73.327%
christian yelich,47.598%,52.216%,0.186%
kris bryant,0.375%,99.043%,0.582%
jean segura,98.813%,0.342%,0.845%
freddie freeman,0.997%,98.998%,0.005%
kyle seager,96.240%,3.581%,0.179%
nelson cruz,1.084%,98.915%,0.000%
mike trout,0.000%,100.000%,0.000%
edwin encarnacion,0.782%,99.194%,0.024%
marcus semien,76.463%,20.856%,2.680%
evan longoria,95.433%,4.391%,0.175%
nick castellanos,26.551%,73.264%,0.185%
kevin pillar,84.689%,0.648%,14.663%
adam jones,95.125%,4.426%,0.449%
cesar hernandez,0.036%,0.002%,99.963%
matt carpenter,5.212%,3.391%,91.397%
george springer,0.983%,98.692%,0.325%
elvis andrus,97.388%,0.297%,2.315%
albert pujols,98.356%,1.574%,0.070%
starlin castro,91.538%,4.398%,4.064%
j.d. martinez,0.028%,99.972%,0.000%
marcell ozuna,87.038%,12.691%,0.271%
andrew mccutchen,13.048%,86.087%,0.865%
lorenzo cain,93.589%,2.803%,3.609%
eugenio suarez,9.413%,86.991%,3.597%
brandon crawford,96.940%,1.029%,2.030%
todd frazier,24.856%,71.966%,3.178%
khris davis,0.064%,99.936%,0.001%
rougned odor,78.014%,1.066%,20.920%
jose ramirez,98.014%,1.615%,0.371%
anthony rendon,85.344%,14.564%,0.091%
shin-soo choo,13.730%,83.710%,2.560%
jason kipnis,93.115%,0.793%,6.092%
robinson cano,98.107%,1.842%,0.051%
ian desmond,46.493%,31.575%,21.932%
josh donaldson,0.007%,99.993%,0.000%
ian kinsler,94.478%,2.426%,3.096%
asdrubal cabrera,97.913%,1.606%,0.481%
jason heyward,89.964%,2.538%,7.498%
justin upton,0.021%,99.940%,0.039%
ender inciarte,3.003%,0.003%,96.994%
andrelton simmons,99.167%,0.133%,0.700%
brandon belt,0.208%,69.383%,30.409%
chris davis,0.281%,99.339%,0.381%
j.t. realmuto,97.406%,2.123%,0.471%
dee gordon,0.000%,0.000%,100.000%
buster posey,98.694%,1.189%,0.116%
starling marte,0.093%,0.062%,99.844%
melky cabrera,98.516%,0.212%,1.272%
alex gordon,5.163%,64.180%,30.658%
didi gregorius,94.897%,0.373%,4.730%
eduardo escobar,89.620%,8.857%,1.523%
dexter fowler,1.501%,82.205%,16.294%
yadier molina,99.518%,0.330%,0.152%
curtis granderson,5.844%,91.883%,2.273%
jonathan schoop,1.690%,45.574%,52.736%
eddie rosario,97.020%,2.135%,0.845%
josh reddick,96.733%,1.531%,1.735%
justin turner,89.154%,10.802%,0.044%
jay bruce,93.860%,5.680%,0.460%
mike moustakas,77.754%,21.978%,0.268%
daniel murphy,99.652%,0.325%,0.024%
kendrys morales,89.346%,10.621%,0.033%
jackie bradley jr.,57.851%,39.873%,2.275%
avisail garcia,32.600%,60.828%,6.571%
adam eaton,0.120%,0.000%,99.879%
yasmani grandal,1.093%,98.443%,0.463%
ryan braun,84.791%,15.102%,0.107%
alcides escobar,3.527%,0.000%,96.473%
odubel herrera,26.986%,0.515%,72.499%
maikel franco,94.982%,4.212%,0.806%
jonathan villar,0.696%,0.106%,99.199%
billy hamilton,0.000%,0.000%,100.000%
jose iglesias,0.331%,0.242%,99.427%
carlos gonzalez,53.874%,39.285%,6.841%
miguel cabrera,51.701%,48.267%,0.032%
marwin gonzalez,13.439%,0.010%,86.551%
joe panik,98.204%,0.151%,1.645%
wil myers,2.123%,89.893%,7.983%
whit merrifield,99.009%,0.556%,0.435%
logan forsythe,20.688%,78.267%,1.045%
justin smoak,0.702%,99.264%,0.034%
mitch moreland,32.589%,67.333%,0.077%
joe mauer,78.587%,19.868%,1.545%
yonder alonso,81.358%,17.127%,1.516%
carlos correa,8.947%,88.999%,2.054%
randal grichuk,12.295%,86.932%,0.773%
ben zobrist,57.248%,28.252%,14.500%
matt kemp,84.177%,15.550%,0.273%
gregory polanco,91.839%,5.677%,2.485%
joc pederson,2.780%,96.426%,0.795%
kolten wong,0.175%,0.000%,99.825%
yolmer sanchez,12.336%,0.248%,87.415%
david peralta,95.651%,3.682%,0.667%
yasiel puig,6.964%,92.307%,0.729%
stephen piscotty,81.525%,14.032%,4.444%
neil walker,81.835%,17.206%,0.959%
trevor story,9.324%,89.889%,0.787%
michael brantley,99.562%,0.335%,0.103%
c.j. cron,0.511%,99.398%,0.091%
jordy mercer,46.587%,1.925%,51.488%
michael conforto,0.340%,99.294%,0.366%
jose bautista,0.043%,99.741%,0.216%
giancarlo stanton,0.000%,100.000%,0.000%
javier baez,9.129%,0.965%,89.906%
