name,krate,bbrate,barrels,solids,flares,topped,under,weak,cluster,cluster name
manny machado,0.166618622,0.087345056,0.0937014,0.076205288,0.220839813,0.304043546,0.263608087,0.025272162,2,Power-Hitter
paul goldschmidt,0.228978761,0.142566191,0.116486613,0.085486144,0.244246125,0.294504462,0.216533584,0.025364021,2,Power-Hitter
mookie betts,0.12675644,0.102459016,0.076070336,0.068425076,0.248853211,0.281727829,0.284021407,0.023318043,2,Power-Hitter
carlos santana,0.152392203,0.151506202,0.082408198,0.061912895,0.215200683,0.328351836,0.27028181,0.025619129,2,Power-Hitter
charlie blackmon,0.173771462,0.074896388,0.068008048,0.061569416,0.272837022,0.288531187,0.241448692,0.039839034,1,Table-Setter
nolan arenado,0.158175355,0.088566351,0.082376238,0.074455446,0.228514851,0.277623762,0.299405941,0.017425743,2,Power-Hitter
eric hosmer,0.193789191,0.085398626,0.072319202,0.048628429,0.241064007,0.447215295,0.13840399,0.029925187,1,Table-Setter
anthony rizzo,0.140167364,0.114763897,0.079545455,0.063131313,0.257575758,0.277356902,0.268097643,0.036616162,2,Power-Hitter
joey votto,0.16978852,0.171903323,0.086592179,0.074487896,0.290968343,0.269553073,0.228119181,0.032122905,2,Power-Hitter
xander bogaerts,0.171637249,0.084297018,0.053674649,0.048720066,0.250206441,0.366226259,0.237407102,0.026011561,1,Table-Setter
jose abreu,0.196406821,0.0590743,0.097222222,0.064814815,0.253787879,0.341750842,0.201599327,0.023148148,1,Table-Setter
francisco lindor,0.14025894,0.080147965,0.064992026,0.060207337,0.232854864,0.344896332,0.245614035,0.021132376,1,Table-Setter
jose altuve,0.11881804,0.076827372,0.059952978,0.051724138,0.249216301,0.343652038,0.219827586,0.042711599,1,Table-Setter
brian dozier,0.205662726,0.102986932,0.071656778,0.069831127,0.222729347,0.255591054,0.321314468,0.036513008,2,Power-Hitter
nick markakis,0.134723086,0.102053516,0.029967159,0.04679803,0.315681445,0.350985222,0.217159278,0.024630542,1,Table-Setter
kole calhoun,0.222465582,0.095744681,0.07627907,0.071627907,0.249302326,0.305116279,0.24372093,0.030232558,2,Power-Hitter
dj lemahieu,0.141506461,0.081311062,0.043230016,0.054649266,0.301794454,0.40497553,0.146411093,0.015905383,1,Table-Setter
bryce harper,0.22031746,0.167936508,0.116474292,0.068730325,0.232948583,0.288037775,0.236096537,0.029905561,2,Power-Hitter
freddy galvis,0.204784689,0.055183413,0.03337668,0.049414824,0.253142609,0.302123971,0.296488947,0.022106632,1,Table-Setter
brett gardner,0.184605557,0.104439476,0.033712984,0.049658314,0.249658314,0.353075171,0.243280182,0.032346241,1,Table-Setter
christian yelich,0.202250804,0.111575563,0.0997151,0.065527066,0.255935423,0.41025641,0.122507123,0.022792023,1,Table-Setter
kris bryant,0.236070853,0.11884058,0.103680664,0.071021255,0.22498704,0.238465526,0.305857957,0.037843442,2,Power-Hitter
jean segura,0.1354234,0.047834518,0.034939759,0.05060241,0.230120482,0.43815261,0.191164659,0.029718876,1,Table-Setter
freddie freeman,0.201814059,0.120829284,0.118305745,0.074975657,0.273612463,0.256085686,0.239045764,0.024829601,2,Power-Hitter
kyle seager,0.175040519,0.085251216,0.076820604,0.068383659,0.262877442,0.234902309,0.315719361,0.019538188,2,Power-Hitter
nelson cruz,0.232543033,0.098083793,0.154992548,0.082463984,0.205663189,0.315449578,0.202682563,0.021361153,2,Power-Hitter
mike trout,0.204353476,0.173489279,0.159677419,0.066666667,0.240322581,0.22688172,0.25,0.034946237,2,Power-Hitter
edwin encarnacion,0.197385621,0.127124183,0.112315271,0.069458128,0.214778325,0.268965517,0.286206897,0.028078818,2,Power-Hitter
marcus semien,0.192609549,0.091236102,0.05952381,0.068223443,0.235347985,0.284340659,0.298992674,0.033882784,2,Power-Hitter
