"","x"
"1",0
"2",0.220462274530809
"3",0.168629977417202
"4",0.123827227022937
"5",0.12763305378446
"6",0.0890564730071825
"7",0.0909261448346297
"8",0.0953687749540048
"9",0.0834422402303147
"10",0.083710251315571
"11",0.0766049422751887
"12",0.0751957046035589
"13",0.070109740639036
"14",0.0818561405076578
"15",0.0732515379056715
"16",0.0687823593217219
"17",0.0745534295171683
"18",0.0635308211051928
"19",0.0625495209646649
"20",0.0617449125232649
"21",0.0672164987223298
"22",0.0712320552189546
"23",0.0680393060836371
"24",0.065046408074576
"25",0.0647257998580777
"26",0.0632565445836319
"27",0.0663269812686051
"28",0.0717117770823893
"29",0.0651098254844434
"30",0.0707594895435929
