"x","y","xend","yend","clust","line"
130.008453369141,11.6815984888011,7.7705078125,11.6815984888011,2,0
7.7705078125,11.6815984888011,7.7705078125,8.19798796679294,2,0
7.7705078125,8.19798796679294,1.5,8.19798796679294,2,0
1.5,8.19798796679294,1.5,4.68708366057489,2,0
1.5,4.68708366057489,1,4.68708366057489,2,0
1,4.68708366057489,1,0,2,0
1.5,4.68708366057489,2,4.68708366057489,2,0
2,4.68708366057489,2,0,2,0
7.7705078125,8.19798796679294,14.041015625,8.19798796679294,2,0
14.041015625,8.19798796679294,14.041015625,6.80689745637466,2,0
14.041015625,6.80689745637466,3.5,6.80689745637466,2,0
3.5,6.80689745637466,3.5,3.46704119676153,2,0
3.5,3.46704119676153,3,3.46704119676153,2,0
3,3.46704119676153,3,0,2,0
3.5,3.46704119676153,4,3.46704119676153,2,0
4,3.46704119676153,4,0,2,0
14.041015625,6.80689745637466,24.58203125,6.80689745637466,2,0
24.58203125,6.80689745637466,24.58203125,5.84073458649162,2,0
24.58203125,5.84073458649162,16.625,5.84073458649162,2,0
16.625,5.84073458649162,16.625,4.54298046800149,2,0
16.625,4.54298046800149,10.5625,4.54298046800149,2,0
10.5625,4.54298046800149,10.5625,2.93836041583677,2,0
10.5625,2.93836041583677,7.25,2.93836041583677,2,0
7.25,2.93836041583677,7.25,1.98715239805134,2,0
7.25,1.98715239805134,5.5,1.98715239805134,2,0
5.5,1.98715239805134,5.5,1.38925231536325,2,0
5.5,1.38925231536325,5,1.38925231536325,2,0
5,1.38925231536325,5,0,2,0
5.5,1.38925231536325,6,1.38925231536325,2,0
6,1.38925231536325,6,0,2,0
7.25,1.98715239805134,9,1.98715239805134,2,0
9,1.98715239805134,9,1.69847849222648,2,0
9,1.69847849222648,7.5,1.69847849222648,2,0
7.5,1.69847849222648,7.5,1.27757670494438,2,0
7.5,1.27757670494438,7,1.27757670494438,2,0
7,1.27757670494438,7,0,2,0
7.5,1.27757670494438,8,1.27757670494438,2,0
8,1.27757670494438,8,0,2,0
9,1.69847849222648,10.5,1.69847849222648,2,0
10.5,1.69847849222648,10.5,1.56107969757001,2,0
10.5,1.56107969757001,9.5,1.56107969757001,2,0
9.5,1.56107969757001,9.5,0.924411789338073,2,0
9.5,0.924411789338073,9,0.924411789338073,2,0
9,0.924411789338073,9,0,2,0
9.5,0.924411789338073,10,0.924411789338073,2,0
10,0.924411789338073,10,0,2,0
10.5,1.56107969757001,11.5,1.56107969757001,2,0
11.5,1.56107969757001,11.5,1.02086125040071,2,0
11.5,1.02086125040071,11,1.02086125040071,2,0
11,1.02086125040071,11,0,2,0
11.5,1.02086125040071,12,1.02086125040071,2,0
12,1.02086125040071,12,0,2,0
10.5625,2.93836041583677,13.875,2.93836041583677,2,0
13.875,2.93836041583677,13.875,2.1728109812734,2,0
13.875,2.1728109812734,13,2.1728109812734,2,0
13,2.1728109812734,13,0,2,0
13.875,2.1728109812734,14.75,2.1728109812734,2,0
14.75,2.1728109812734,14.75,1.51190350878988,2,0
14.75,1.51190350878988,14,1.51190350878988,2,0
14,1.51190350878988,14,0,2,0
14.75,1.51190350878988,15.5,1.51190350878988,2,0
15.5,1.51190350878988,15.5,1.1688506436244,2,0
15.5,1.1688506436244,15,1.1688506436244,2,0
15,1.1688506436244,15,0,2,0
15.5,1.1688506436244,16,1.1688506436244,2,0
16,1.1688506436244,16,0,2,0
16.625,4.54298046800149,22.6875,4.54298046800149,2,0
22.6875,4.54298046800149,22.6875,3.86171991482917,2,0
22.6875,3.86171991482917,20.125,3.86171991482917,2,0
20.125,3.86171991482917,20.125,2.6093794334186,2,0
20.125,2.6093794334186,18.5,2.6093794334186,2,0
18.5,2.6093794334186,18.5,1.73424874688298,2,0
18.5,1.73424874688298,17.5,1.73424874688298,2,0
17.5,1.73424874688298,17.5,1.12657635469863,2,0
17.5,1.12657635469863,17,1.12657635469863,2,0
17,1.12657635469863,17,0,2,0
17.5,1.12657635469863,18,1.12657635469863,2,0
18,1.12657635469863,18,0,2,0
18.5,1.73424874688298,19.5,1.73424874688298,2,0
19.5,1.73424874688298,19.5,1.23833489842853,2,0
19.5,1.23833489842853,19,1.23833489842853,2,0
19,1.23833489842853,19,0,2,0
19.5,1.23833489842853,20,1.23833489842853,2,0
20,1.23833489842853,20,0,2,0
20.125,2.6093794334186,21.75,2.6093794334186,2,0
21.75,2.6093794334186,21.75,2.35222127937718,2,0
21.75,2.35222127937718,21,2.35222127937718,2,0
21,2.35222127937718,21,0,2,0
21.75,2.35222127937718,22.5,2.35222127937718,2,0
22.5,2.35222127937718,22.5,1.88667625731005,2,0
22.5,1.88667625731005,22,1.88667625731005,2,0
22,1.88667625731005,22,0,2,0
22.5,1.88667625731005,23,1.88667625731005,2,0
23,1.88667625731005,23,0,2,0
22.6875,3.86171991482917,25.25,3.86171991482917,2,0
25.25,3.86171991482917,25.25,2.88006904030945,2,0
25.25,2.88006904030945,24,2.88006904030945,2,0
24,2.88006904030945,24,0,2,0
25.25,2.88006904030945,26.5,2.88006904030945,2,0
26.5,2.88006904030945,26.5,2.63480360343202,2,0
26.5,2.63480360343202,25.5,2.63480360343202,2,0
25.5,2.63480360343202,25.5,1.39226592932667,2,0
25.5,1.39226592932667,25,1.39226592932667,2,0
25,1.39226592932667,25,0,2,0
25.5,1.39226592932667,26,1.39226592932667,2,0
26,1.39226592932667,26,0,2,0
26.5,2.63480360343202,27.5,2.63480360343202,2,0
27.5,2.63480360343202,27.5,1.58914506045342,2,0
27.5,1.58914506045342,27,1.58914506045342,2,0
27,1.58914506045342,27,0,2,0
27.5,1.58914506045342,28,1.58914506045342,2,0
28,1.58914506045342,28,0,2,0
24.58203125,5.84073458649162,32.5390625,5.84073458649162,2,0
32.5390625,5.84073458649162,32.5390625,5.01471227633754,2,0
32.5390625,5.01471227633754,29,5.01471227633754,2,0
29,5.01471227633754,29,0,2,0
32.5390625,5.01471227633754,36.078125,5.01471227633754,2,0
36.078125,5.01471227633754,36.078125,3.99200512192323,2,0
36.078125,3.99200512192323,30.75,3.99200512192323,2,0
30.75,3.99200512192323,30.75,1.81756094497974,2,0
30.75,1.81756094497974,30,1.81756094497974,2,0
30,1.81756094497974,30,0,2,0
30.75,1.81756094497974,31.5,1.81756094497974,2,0
31.5,1.81756094497974,31.5,1.31677236666645,2,0
31.5,1.31677236666645,31,1.31677236666645,2,0
31,1.31677236666645,31,0,2,0
31.5,1.31677236666645,32,1.31677236666645,2,0
32,1.31677236666645,32,0,2,0
36.078125,3.99200512192323,41.40625,3.99200512192323,2,0
41.40625,3.99200512192323,41.40625,3.35301928245131,2,0
41.40625,3.35301928245131,38.1875,3.35301928245131,2,0
38.1875,3.35301928245131,38.1875,2.37972721363188,2,0
38.1875,2.37972721363188,35.625,2.37972721363188,2,0
35.625,2.37972721363188,35.625,1.67240500869418,2,0
35.625,1.67240500869418,33.75,1.67240500869418,2,0
33.75,1.67240500869418,33.75,1.27331961042447,2,0
33.75,1.27331961042447,33,1.27331961042447,2,0
33,1.27331961042447,33,0,2,0
33.75,1.27331961042447,34.5,1.27331961042447,2,0
34.5,1.27331961042447,34.5,0.649703653877407,2,0
34.5,0.649703653877407,34,0.649703653877407,2,0
34,0.649703653877407,34,0,2,0
34.5,0.649703653877407,35,0.649703653877407,2,0
35,0.649703653877407,35,0,2,0
35.625,1.67240500869418,37.5,1.67240500869418,2,0
37.5,1.67240500869418,37.5,1.56621245611956,2,0
37.5,1.56621245611956,36.5,1.56621245611956,2,0
36.5,1.56621245611956,36.5,0.94796498218915,2,0
36.5,0.94796498218915,36,0.94796498218915,2,0
36,0.94796498218915,36,0,2,0
36.5,0.94796498218915,37,0.94796498218915,2,0
37,0.94796498218915,37,0,2,0
37.5,1.56621245611956,38.5,1.56621245611956,2,0
38.5,1.56621245611956,38.5,1.11567821982961,2,0
38.5,1.11567821982961,38,1.11567821982961,2,0
38,1.11567821982961,38,0,2,0
38.5,1.11567821982961,39,1.11567821982961,2,0
39,1.11567821982961,39,0,2,0
38.1875,2.37972721363188,40.75,2.37972721363188,2,0
40.75,2.37972721363188,40.75,1.67503228005445,2,0
40.75,1.67503228005445,40,1.67503228005445,2,0
40,1.67503228005445,40,0,2,0
40.75,1.67503228005445,41.5,1.67503228005445,2,0
41.5,1.67503228005445,41.5,1.29326994789877,2,0
41.5,1.29326994789877,41,1.29326994789877,2,0
41,1.29326994789877,41,0,2,0
41.5,1.29326994789877,42,1.29326994789877,2,0
42,1.29326994789877,42,0,2,0
41.40625,3.35301928245131,44.625,3.35301928245131,2,0
44.625,3.35301928245131,44.625,3.14153944716978,2,0
44.625,3.14153944716978,43.5,3.14153944716978,2,0
43.5,3.14153944716978,43.5,1.75493124105177,2,0
43.5,1.75493124105177,43,1.75493124105177,2,0
43,1.75493124105177,43,0,2,0
43.5,1.75493124105177,44,1.75493124105177,2,0
44,1.75493124105177,44,0,2,0
44.625,3.14153944716978,45.75,3.14153944716978,2,0
45.75,3.14153944716978,45.75,2.42128716104259,2,0
45.75,2.42128716104259,45,2.42128716104259,2,0
45,2.42128716104259,45,0,2,0
45.75,2.42128716104259,46.5,2.42128716104259,2,0
46.5,2.42128716104259,46.5,1.16329900982086,2,0
46.5,1.16329900982086,46,1.16329900982086,2,0
46,1.16329900982086,46,0,2,0
46.5,1.16329900982086,47,1.16329900982086,2,0
47,1.16329900982086,47,0,2,0
130.008453369141,11.6815984888011,252.246398925781,11.6815984888011,0,1
252.246398925781,11.6815984888011,252.246398925781,9.37328901643679,0,1
252.246398925781,9.37328901643679,160.038208007812,9.37328901643679,1,0
160.038208007812,9.37328901643679,160.038208007812,7.44963713518997,1,0
160.038208007812,7.44963713518997,102.212890625,7.44963713518997,1,0
102.212890625,7.44963713518997,102.212890625,5.71451529231142,1,0
102.212890625,5.71451529231142,66.40625,5.71451529231142,1,0
66.40625,5.71451529231142,66.40625,4.72699893924064,1,0
66.40625,4.72699893924064,56.46875,4.72699893924064,1,0
56.46875,4.72699893924064,56.46875,3.84990435728553,1,0
56.46875,3.84990435728553,50.0625,3.84990435728553,1,0
50.0625,3.84990435728553,50.0625,2.78279416322964,1,0
50.0625,2.78279416322964,48.5,2.78279416322964,1,0
48.5,2.78279416322964,48.5,1.61331479239518,1,0
48.5,1.61331479239518,48,1.61331479239518,1,0
48,1.61331479239518,48,0,1,0
48.5,1.61331479239518,49,1.61331479239518,1,0
49,1.61331479239518,49,0,1,0
50.0625,2.78279416322964,51.625,2.78279416322964,1,0
51.625,2.78279416322964,51.625,2.22897187089438,1,0
51.625,2.22897187089438,50.5,2.22897187089438,1,0
50.5,2.22897187089438,50.5,1.08605727167187,1,0
50.5,1.08605727167187,50,1.08605727167187,1,0
50,1.08605727167187,50,0,1,0
50.5,1.08605727167187,51,1.08605727167187,1,0
51,1.08605727167187,51,0,1,0
51.625,2.22897187089438,52.75,2.22897187089438,1,0
52.75,2.22897187089438,52.75,1.91822466773839,1,0
52.75,1.91822466773839,52,1.91822466773839,1,0
52,1.91822466773839,52,0,1,0
52.75,1.91822466773839,53.5,1.91822466773839,1,0
53.5,1.91822466773839,53.5,1.29002214073067,1,0
53.5,1.29002214073067,53,1.29002214073067,1,0
53,1.29002214073067,53,0,1,0
53.5,1.29002214073067,54,1.29002214073067,1,0
54,1.29002214073067,54,0,1,0
56.46875,3.84990435728553,62.875,3.84990435728553,1,0
62.875,3.84990435728553,62.875,3.32389555327828,1,0
62.875,3.32389555327828,59.125,3.32389555327828,1,0
59.125,3.32389555327828,59.125,2.71820139548523,1,0
59.125,2.71820139548523,56.625,2.71820139548523,1,0
56.625,2.71820139548523,56.625,2.2002407191662,1,0
56.625,2.2002407191662,55.5,2.2002407191662,1,0
55.5,2.2002407191662,55.5,1.39025921707266,1,0
55.5,1.39025921707266,55,1.39025921707266,1,0
55,1.39025921707266,55,0,1,0
55.5,1.39025921707266,56,1.39025921707266,1,0
56,1.39025921707266,56,0,1,0
56.625,2.2002407191662,57.75,2.2002407191662,1,0
57.75,2.2002407191662,57.75,1.46916991988649,1,0
57.75,1.46916991988649,57,1.46916991988649,1,0
57,1.46916991988649,57,0,1,0
57.75,1.46916991988649,58.5,1.46916991988649,1,0
58.5,1.46916991988649,58.5,0.903563392773632,1,0
58.5,0.903563392773632,58,0.903563392773632,1,0
58,0.903563392773632,58,0,1,0
58.5,0.903563392773632,59,0.903563392773632,1,0
59,0.903563392773632,59,0,1,0
59.125,2.71820139548523,61.625,2.71820139548523,1,0
61.625,2.71820139548523,61.625,2.20567856409547,1,0
61.625,2.20567856409547,60.5,2.20567856409547,1,0
60.5,2.20567856409547,60.5,1.53157489404886,1,0
60.5,1.53157489404886,60,1.53157489404886,1,0
60,1.53157489404886,60,0,1,0
60.5,1.53157489404886,61,1.53157489404886,1,0
61,1.53157489404886,61,0,1,0
61.625,2.20567856409547,62.75,2.20567856409547,1,0
62.75,2.20567856409547,62.75,1.53484421110548,1,0
62.75,1.53484421110548,62,1.53484421110548,1,0
62,1.53484421110548,62,0,1,0
62.75,1.53484421110548,63.5,1.53484421110548,1,0
63.5,1.53484421110548,63.5,1.11893040487499,1,0
63.5,1.11893040487499,63,1.11893040487499,1,0
63,1.11893040487499,63,0,1,0
63.5,1.11893040487499,64,1.11893040487499,1,0
64,1.11893040487499,64,0,1,0
62.875,3.32389555327828,66.625,3.32389555327828,1,0
66.625,3.32389555327828,66.625,2.79929623492406,1,0
66.625,2.79929623492406,65.5,2.79929623492406,1,0
65.5,2.79929623492406,65.5,1.447309323087,1,0
65.5,1.447309323087,65,1.447309323087,1,0
65,1.447309323087,65,0,1,0
65.5,1.447309323087,66,1.447309323087,1,0
66,1.447309323087,66,0,1,0
66.625,2.79929623492406,67.75,2.79929623492406,1,0
67.75,2.79929623492406,67.75,1.73220004759977,1,0
67.75,1.73220004759977,67,1.73220004759977,1,0
67,1.73220004759977,67,0,1,0
67.75,1.73220004759977,68.5,1.73220004759977,1,0
68.5,1.73220004759977,68.5,1.09509500898667,1,0
68.5,1.09509500898667,68,1.09509500898667,1,0
68,1.09509500898667,68,0,1,0
68.5,1.09509500898667,69,1.09509500898667,1,0
69,1.09509500898667,69,0,1,0
66.40625,4.72699893924064,76.34375,4.72699893924064,1,0
76.34375,4.72699893924064,76.34375,4.00864153541433,1,0
76.34375,4.00864153541433,72.125,4.00864153541433,1,0
72.125,4.00864153541433,72.125,2.77732323353296,1,0
72.125,2.77732323353296,70.75,2.77732323353296,1,0
70.75,2.77732323353296,70.75,1.43552983295842,1,0
70.75,1.43552983295842,70,1.43552983295842,1,0
70,1.43552983295842,70,0,1,0
70.75,1.43552983295842,71.5,1.43552983295842,1,0
71.5,1.43552983295842,71.5,1.20214268666694,1,0
71.5,1.20214268666694,71,1.20214268666694,1,0
71,1.20214268666694,71,0,1,0
